Artist ID,Name,Nationality,Birth Year,Work Count
642,Charles Boily,French,,1
643,Boissonas,Swiss,,1
644,Richard Boix,Spanish,1894.0,1
645,Jakob (Jack) Friedrich Bollschweiler,German,1888.0,2
646,Roger Bolomey,American,1918.0,1
647,Jay Bolotin,American,1949.0,39
648,Ilya Bolotowsky,American,1907.0,9
649,Christian Boltanski,French,1944.0,297
650,Michael Bolus,British,1934.0,1
651,David Bomberg,British,1890.0,10
652,Camille Bombois,French,1883.0,1
653,Giorgio Bompadre,Italian,,2
654,Bona,Italian,1926.0,1
655,Claus Bonderup,Danish,1943.0,3
656,Emile Bondonneau,French,,3
657,Muirhead Bone,British,1876.0,1
658,Antonio Bonet,Spanish,1913.0,1
659,Rodolfo Bonetto,Italian,1929.0,4
660,Marcelo Bonevardi,Argentine,1929.0,1
661,Felix Bonfils,French,1831.0,1
662,Dusti Bongé,American,1903.0,1
664,Paolo Boni,Italian,1926.0,4
665,Pierre Bonnard,French,1867.0,909
666,William Bonnell,American,,5
668,Maria Bonomi,Brazilian,1935.0,1
669,Robert Bononno,American,,2
670,Lee Bontecou,American,1931.0,58
671,Fabio Bonzi,Italian,1943.0,1
673,Peter Booth,Australian,1940.0,4
674,Osvaldo Borda,Argentine,1929.0,1
675,Enrico Bordoni,Italian,1904.0,11
676,Paul-Émile Borduas,Canadian,1905.0,2
677,Wendela Boreel,British,,1
678,Francisco Borès,Spanish,1898.0,1
682,Jonathan Borofsky,American,1942.0,12
684,Arnold von Borsig,German,,5
685,Elena Borstein,American,1946.0,1
686,Sándor (Alexander) Bortnyik,Hungarian,1893.0,16
687,Fritz Boscovits,Swiss,1871.0,1
688,Derek Boshier,British,1937.0,1
689,Richard Bosman,Australian,1944.0,50
690,Michael P. Bosniak,American,,3
691,Rodolphe-Théophile Bosshard,Swiss,1889.0,3
692,Check  Boterf,American,1934.0,1
693,Fernando Botero,Colombian,1932.0,4
694,Dorr Bothwell,American,1902.0,1
696,Mario Botta,Swiss,1943.0,34
697,Kenneth J. Botto,American,1937.0,3
698,Édouard Boubat,French,1923.0,5
699,René Robert Bouché,American,1905.0,3
700,Jean Boucher,French,,1
701,Alice Boughton,American,1865.0,1
702,Bouillon,French,,1
703,Firmin Bouisset,French,1859.0,4
704,Bart Boumans,Dutch,,3
705,Christine Boumeester,Dutch,1904.0,2
706,Louis Bouquet,French,1885.0,2
707,Harry Bouras,American,1931.0,7
708,Émile-Antoine Bourdelle,French,1861.0,4
709,Jouineau Bourduge,French,,1
710,Louise Bourgeois,American,1911.0,3363
711,Fergus Bourke,Irish,1934.0,7
712,Margaret Bourke-White,American,1904.0,63
713,Samuel Bourne,British,1834.0,2
714,J. Bouski,Polish,,1
715,Jean-Louis Boussingault,French,1883.0,5
716,Henri Boutet,French,1851.0,2
717,Boutrou,French,,1
718,Lynn Bowers,American,1932.0,1
719,Frank Bowling,Guyanese,1936.0,1
720,Stanley Boxer,American,1926.0,2
721,Fiske Boyd,American,1895.0,1
722,Fionnuala Boyd,British,1944.0,2
723,James Henderson Boyd,Canadian,1928.0,2
724,Mark Boyle,British,1934.0,1
725,James Boynton,American,1928.0,41
726,Paul Brach,American,1924.0,16
727,Angel Bracho,Mexican,1911.0,4
728,M. Leone Bracker,American,1885.0,1
729,Su Braden,British,1940.0,2
730,Martin Bradley,British,,1
731,Paul Bradley,American,1960.0,1
732,William Bradley,American,1868.0,9
733,Dove Bradshaw,American,1949.0,2
734,Mathew B. Brady (studio of),American,1823.0,59
736,Joe Brainard,American,1942.0,8
737,Emile Branchard,American,1881.0,3
738,Constantin Brancusi,French,1876.0,31
739,Hans Brand,German,,7
740,Bill Brandt,British,1904.0,110
741,Marianne Brandt,German,1893.0,15
742,Robert Brandwein,American,1933.0,1
743,Frank Brangwyn,British,1867.0,1
744,Georges Braque,French,1882.0,179
745,Brassaï (Gyula Halász),French,1899.0,111
